Cycle,District,Jurisdiction,Name,Path,Race,Station
2018,,Non-Candidate Issue Ads,MAJORITY FORWARD,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/MAJORITY FORWARD,,KPHO-TV
2018,,Non-Candidate Issue Ads,MAJORITY FORWARD VOTE VETS PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/MAJORITY FORWARD VOTE VETS PAC,,KPHO-TV
2018,,Non-Candidate Issue Ads,MAJORITY FORWARD-VOTE VETS ACTION FUND,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/MAJORITY FORWARD-VOTE VETS ACTION FUND,,KPHO-TV
2018,,Non-Candidate Issue Ads,NRCC-IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/NRCC-IE,,KPHO-TV
2018,,Non-Candidate Issue Ads,NRSC IE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/NRSC IE,,KPHO-TV
2018,,Non-Candidate Issue Ads,ONE NATION,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/ONE NATION,,KPHO-TV
2018,,Non-Candidate Issue Ads,PATRIOT MAJORITY USA,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/PATRIOT MAJORITY USA,,KPHO-TV
2018,,Non-Candidate Issue Ads,RED AND GOLD,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/RED AND GOLD,,KPHO-TV
2018,,Non-Candidate Issue Ads,RGA ARIZONA PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/RGA ARIZONA PAC,,KPHO-TV
2018,,Non-Candidate Issue Ads,SENATE MAJORITY PAC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/SENATE MAJORITY PAC,,KPHO-TV
2018,,Non-Candidate Issue Ads,TAX MARCH,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/TAX MARCH,,KPHO-TV
2018,,Non-Candidate Issue Ads,US CHAMBER OF COMMERCE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/US CHAMBER OF COMMERCE,,KPHO-TV
2018,,Non-Candidate Issue Ads,WORKING FAMLIES PARTY IC,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/Non-Candidate Issue Ads/WORKING FAMLIES PARTY IC,,KPHO-TV
2018,,State,AZ DEM ON BEHALF OF KATIE HOBBS AZ SEC OF STATE,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/State/AZ DEM ON BEHALF OF KATIE HOBBS AZ SEC OF STATE,,KPHO-TV
2018,,State,AZ DEM PARTY JANUARY CONTRERAS FOR AG,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/State/AZ DEM PARTY JANUARY CONTRERAS FOR AG,,KPHO-TV
2018,,State,AZ REPUBLICAN PARTY FOR MARK BRNOVICH ATT GEN,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/State/AZ REPUBLICAN PARTY FOR MARK BRNOVICH ATT GEN,,KPHO-TV
2018,,State,D DUCEY AZRP,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/State/D DUCEY AZRP,,KPHO-TV
2018,,State,D DUCEY R GOV AZ,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/State/D DUCEY R GOV AZ,,KPHO-TV
2018,,State,DANIEL VALENZUELA FOR PHOENIX,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/State/DANIEL VALENZUELA FOR PHOENIX,,KPHO-TV
2018,,State,DAVID GARCIA FOR GOVERNOR,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/State/DAVID GARCIA FOR GOVERNOR,,KPHO-TV
2018,,State,K GALLEGO FOR PHOENIX MAYOR D,/media/andrew/F08C9B848C9B444E/analysis/tv/buys/KPHO-TV/Political Files/2018/State/K GALLEGO FOR PHOENIX MAYOR D,,KPHO-TV
